"fixed.acidity";"volatile.acidity";"residual.sugar";"chlorides";"total.sulfur.dioxide";"density";"pH";"sulphates";"alcohol";"quality";"pred.qual"
7,4;0,7;1,9;0,076;34;0,9978;3,51;0,56;9,4;"normal";0,997645433436542
7,8;0,88;2,6;0,098;67;0,9968;3,2;0,68;9,8;"normal";0,997296722437749
7,8;0,76;2,3;0,092;54;0,997;3,26;0,65;9,8;"normal";0,997296722437749
11,2;0,28;1,9;0,075;60;0,998;3,16;0,58;9,8;"good";0,997296722437749
7,4;0,7;1,9;0,076;34;0,9978;3,51;0,56;9,4;"normal";0,997645433436542
7,4;0,66;1,8;0,075;40;0,9978;3,51;0,56;9,4;"normal";0,997645433436542
7,9;0,6;1,6;0,069;59;0,9964;3,3;0,46;9,4;"normal";0,997645433436542
7,3;0,65;1,2;0,065;21;0,9946;3,39;0,47;10;"good";0,997122366938352
7,8;0,58;2;0,073;18;0,9968;3,36;0,57;9,5;"good";0,997558255686844
7,5;0,5;6,1;0,071;102;0,9978;3,35;0,8;10,5;"normal";0,99668647818986
6,7;0,58;1,8;0,097;65;0,9959;3,28;0,54;9,2;"normal";0,997819788935939
7,5;0,5;6,1;0,071;102;0,9978;3,35;0,8;10,5;"normal";0,99668647818986
5,6;0,615;1,6;0,089;59;0,9943;3,58;0,52;9,9;"normal";0,997209544688051
7,8;0,61;1,6;0,114;29;0,9974;3,26;1,56;9,1;"normal";0,997906966685637
8,5;0,28;1,8;0,092;103;0,9969;3,3;0,75;10,5;"good";0,99668647818986
8,1;0,56;1,7;0,368;56;0,9968;3,11;1,28;9,3;"normal";0,997732611186241
7,4;0,59;4,4;0,086;29;0,9974;3,38;0,5;9;"bad";0,997994144435336
7,9;0,32;1,8;0,341;56;0,9969;3,04;1,08;9,2;"good";0,997819788935939
8,9;0,22;1,8;0,077;60;0,9968;3,39;0,53;9,4;"good";0,997645433436542
7,6;0,39;2,3;0,082;71;0,9982;3,52;0,65;9,7;"normal";0,997383900187447
7,9;0,43;1,6;0,106;37;0,9966;3,17;0,91;9,5;"normal";0,997558255686844
8,5;0,49;2,3;0,084;67;0,9968;3,17;0,53;9,4;"normal";0,997645433436542
6,9;0,4;2,4;0,085;40;0,9968;3,43;0,63;9,7;"good";0,997383900187447
6,3;0,39;1,4;0,08;23;0,9955;3,34;0,56;9,3;"normal";0,997732611186241
7,6;0,41;1,8;0,08;11;0,9962;3,28;0,59;9,5;"normal";0,997558255686844
7,9;0,43;1,6;0,106;37;0,9966;3,17;0,91;9,5;"normal";0,997558255686844
7,1;0,71;1,9;0,08;35;0,9972;3,47;0,55;9,4;"normal";0,997645433436542
7,8;0,645;2;0,082;16;0,9964;3,38;0,59;9,8;"good";0,997296722437749
6,7;0,675;2,4;0,089;82;0,9958;3,35;0,54;10,1;"normal";0,997035189188654
6,9;0,685;2,5;0,105;37;0,9966;3,46;0,57;10,6;"good";0,996599300440162
8,3;0,655;2,3;0,083;113;0,9966;3,17;0,66;9,8;"normal";0,997296722437749
6,9;0,605;10,7;0,073;83;0,9993;3,45;0,52;9,4;"good";0,997645433436542
5,2;0,32;1,8;0,103;50;0,9957;3,38;0,55;9,2;"normal";0,997819788935939
7,8;0,645;5,5;0,086;18;0,9986;3,4;0,55;9,6;"good";0,997471077937146
7,8;0,6;2,4;0,086;15;0,9975;3,42;0,6;10,8;"good";0,996424944940765
8,1;0,38;2,1;0,066;30;0,9968;3,23;0,73;9,7;"good";0,997383900187447
5,7;1,13;1,5;0,172;19;0,994;3,5;0,48;9,8;"bad";0,997296722437749
7,3;0,45;5,9;0,074;87;0,9978;3,33;0,83;10,5;"normal";0,99668647818986
7,3;0,45;5,9;0,074;87;0,9978;3,33;0,83;10,5;"normal";0,99668647818986
8,8;0,61;2,8;0,088;46;0,9976;3,26;0,51;9,3;"bad";0,997732611186241
7,5;0,49;2,6;0,332;14;0,9968;3,21;0,9;10,5;"good";0,99668647818986
8,1;0,66;2,2;0,069;23;0,9968;3,3;1,2;10,3;"normal";0,996860833689257
6,8;0,67;1,8;0,05;11;0,9962;3,48;0,52;9,5;"normal";0,997558255686844
4,6;0,52;2,1;0,054;65;0,9934;3,9;0,56;13,1;"bad";0,994419856697703
7,7;0,935;2,2;0,114;114;0,997;3,25;0,73;9,2;"normal";0,997819788935939
8,7;0,29;1,6;0,113;37;0,9969;3,25;0,58;9,5;"normal";0,997558255686844
6,4;0,4;1,6;0,066;12;0,9958;3,34;0,56;9,2;"normal";0,997819788935939
5,6;0,31;1,4;0,074;96;0,9954;3,32;0,58;9,2;"normal";0,997819788935939
8,8;0,66;1,7;0,074;23;0,9971;3,15;0,74;9,2;"normal";0,997819788935939
6,6;0,52;2,2;0,069;15;0,9956;3,4;0,63;9,4;"good";0,997645433436542
6,6;0,5;2,1;0,068;14;0,9955;3,39;0,64;9,4;"good";0,997645433436542
8,6;0,38;3;0,081;119;0,997;3,2;0,56;9,4;"normal";0,997645433436542
